Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
1020,8,1,8,5,41
1021,8,1,8,4,42
1022,8,2,8,4,42
1023,8,2,8,4,39
1024,8,1,8,4,41
1025,8,1,8,4,42
1026,8,1,8,4,42
1027,8,1,8,4,42
1028,8,1,7,4,44
1029,8,1,7,5,43
1030,8,3,7,5,41
1031,8,3,8,2,38
1032,8,1,8,4,36
1033,8,1,8,4,40
1034,8,2,8,4,42
1035,8,2,8,4,40
1036,8,2,8,4,39
1037,8,2,9,0,38
1038,8,1,9,3,39
1039,8,1,8,7,41
1040,8,2,8,4,41
1041,8,3,8,4,39
1042,8,2,9,3,33
1043,8,1,9,3,39
1044,8,1,8,3,41
1045,8,2,8,3,43
1046,8,2,8,3,39
1047,8,2,9,3,38
1048,8,1,9,3,39
1049,8,1,8,5,41
1050,8,1,8,3,42
1051,8,0,8,3,41
1052,8,1,7,5,45
1053,8,2,7,4,42
1054,8,3,7,4,40
1055,8,3,8,4,34
1056,8,1,8,4,37
1057,8,1,8,4,40
1058,8,1,8,4,42
1059,8,2,8,4,40
1060,8,1,8,4,39
1061,8,1,8,2,40
1062,8,2,8,4,41
1063,8,2,8,4,39
1064,8,2,8,4,39
1065,8,1,9,1,39
1066,8,1,9,3,41
1067,8,2,8,3,43
1068,8,2,8,3,39
1069,8,2,8,3,38
1070,8,1,9,3,35
1071,8,0,8,2,40
1072,8,0,8,3,42
1073,8,0,7,5,43
1074,8,1,6,7,46
1075,8,3,6,5,41
1076,8,4,7,5,37
1077,8,3,7,5,36
1078,8,1,8,4,39
1079,8,1,8,4,41
1080,8,2,8,4,40
1081,8,2,8,4,39
1082,8,1,8,4,39
1083,8,1,9,3,38
1084,8,1,9,3,40
1085,8,1,8,3,41
1086,8,2,8,4,42
1087,8,2,8,4,40
1088,8,2,8,4,39
1089,8,1,9,3,36
1090,8,1,9,3,41
1091,8,1,8,3,41
1092,8,0,8,3,42
1093,8,1,7,5,45
1094,8,2,7,4,42
1095,8,3,8,4,35
1096,8,2,8,4,37
1097,8,1,8,4,40
1098,8,1,8,4,42
1099,8,2,8,4,40
1100,8,2,8,4,39
1101,8,1,9,3,39
1102,8,1,9,3,41
1103,8,1,8,3,41
1104,8,2,8,3,39
1105,8,2,9,3,39
1106,8,1,9,3,39
1107,8,1,8,2,41
1108,8,1,8,3,45
1109,8,2,8,3,41
1110,8,2,8,3,39
1111,8,1,9,0,40
1112,8,1,8,4,43
1113,8,2,8,3,41
1114,8,2,8,3,39
1115,8,1,9,2,38
1116,8,0,9,2,40
1117,8,1,8,5,44
1118,8,0,8,3,41
1119,8,1,7,3,43
1120,8,1,7,4,43
1121,8,2,7,4,42
1122,8,2,8,2,37
1123,8,1,8,3,40
1124,8,1,8,3,42
1125,8,2,8,3,42
1126,8,2,8,3,39
1127,8,2,8,3,39
1128,8,1,8,3,40
1129,8,1,8,3,42
